MOLECULE,OUTCOME,,,
CC(C)S(=O)(=O)N[C@H]1CN(C2=CC=CC=C2)C[C@@H]1C1=CC=C(C2=CC(NS(C)(=O)=O)=CC=C2)C=C1,5.886056648,3.113943352,1299.999999,1
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=CC=C(C#N)C=C2)C=C1,5.698970004,3.301029996,2000.000002,1
CC(C)S(=O)(=O)N[C@H]1CN(C2=CC=CC=C2)C[C@@H]1C1=CC=C(C2=CC=C(C#N)C=C2)C=C1,6.096910013,2.903089987,800,1
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=CN=C(F)C=C2)C=C1,6,3,1000,1
CC(C)S(=O)(=O)N[C@H]1CN(C2=CC=CC=C2)C[C@@H]1C1=CC=C(C2=CN=C(F)C=C2)C=C1,7.096910013,1.903089987,80,1
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=CN=CC=C2)C=C1,4.500312917,4.499687083,31600.00003,0
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=CSC=C2)C=C1,5.397940009,3.602059991,3999.999997,1
CC(C)S(=O)(=O)N[C@@H]1COC[C@@H]1C1=CC=C(C2=CC=C(C#N)C=C2)C=C1,4.899629455,4.100370545,12600,0
CC(C1=NC(C2=C(Cl)C=C(S(C)(=O)=O)C=C2)=NO1)[C@H](N)C(F)=C1CCCC1,4.721246399,4.278753601,19000,0
CC(C)[C@H](OC1=CC=C(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)CC2=C(F)C=CC(F)=C2)C=C1)C(=O)O,4.119186408,4.880813592,75999.99995,0
CC(C)(NC(=O)C1=CC=C(Cl)C=C1)[C@@H]1[C@H]2C[C@H](N3C=NC4=CC(F)=C(F)C=C43)C[C@H]21,5.795880017,3.204119983,1600.000001,1
CC(NC(=O)C1=CC=C(Cl)C=C1)[C@@H]1[C@H]2C[C@H](N3C=NC4=CC(F)=C(F)C=C43)C[C@H]21,5.443697499,3.556302501,3600.000002,1
CC(C)[C@]1(C(=O)N2CCN(C3=NC=CC(C(F)(F)F)=C3)CC2)CC[C@@H](N2CCC3COCCC32)C1,5.958607315,3.041392685,1100,1
CC(C)[C@]1(C(=O)N2CCN(C3=NC=CC(C(F)(F)F)=C3)CC2)CC[C@@H](N[C@H]2CCOC[C@H]2O)C1,6.522878745,2.477121255,300.0000002,1
CC(C)N1C(=O)C2=C(C=CC=C2)N=C1C1=CC=C(OCCCN2CCCCC2)C=C1,5.522878745,3.477121255,3000.000002,1
CC(C)(CO)N1N=C(C2=CC3=C(C=C2)C=C(OC2CC2)C=C3)C(C(N)=O)=C1N,4.522878745,4.477121255,30000.00002,0
CC(C)(CCO)N1N=C(C2=CC3=C(C=C2)N=C(OC2CC2)C=C3)C(C(N)=O)=C1N,4.522878745,4.477121255,30000.00002,0
CC(C)(C)N1N=CC2=C1C(=O)CC1(CCN(C(=O)C3=CC4=C(C=C3)NN=C4)CC1)C2,4.677780705,4.322219295,21000.00001,0
CC(C)N1N=CC2=C1C(=O)CC1(CCN(C(=O)C3=CC4=C(C=C3)NN=C4)CC1)C2,4.638272164,4.361727836,23000,0
CC(=O)N1C=CC2=C1C=CC(N1CCN(CCN3CC4=C(C=CC=C4)C3)C1=O)=C2,5,4,10000,1
CC(C)N1N=C(C(=O)NCC2CCN(CCN3CCOCC3)CC2)C2=C1C=CC=C2,4.488116639,4.511883361,32500,0
CC(C)N1N=C(C(=O)NCC2CCN(CCNS(C)(=O)=O)CC2)C2=C1C=CC=C2,5.580044252,3.419955748,2629.999997,1
